epoch,time(s),train_loss,test_loss,test_error(%)
001,00057,6.315139,4.13467,91.18
002,00055,5.906130,4.49965,90.33
003,00065,5.605813,3.23465,78.13
004,00055,5.271535,2.85496,71.21
005,00055,5.092647,2.56417,65.68
006,00056,4.868211,2.52439,64.27
007,00056,4.751460,2.34133,60.07
008,00056,4.708186,2.27619,57.95
009,00056,4.492183,2.05148,53.52
010,00056,4.406108,2.39789,59.48
011,00056,4.555238,2.21366,55.60
012,00056,4.424693,2.06150,52.40
013,00056,4.491308,1.92765,50.15
014,00056,4.344562,2.08615,52.98
015,00056,4.374685,1.75504,45.86
016,00070,4.318535,1.85238,48.44
017,00055,4.312363,1.97495,50.07
018,00055,4.234317,2.04713,51.79
019,00056,4.233887,1.91370,47.39
020,00056,4.232870,1.70396,44.50
021,00056,4.308771,2.03718,50.86
022,00056,4.055390,1.73583,44.28
023,00055,4.035718,1.81008,45.93
024,00056,4.154317,1.77018,44.98
025,00056,4.231009,1.72897,45.79
026,00056,4.099044,1.82797,45.97
027,00056,3.974188,1.73001,45.13
028,00056,4.037318,1.57706,40.34
029,00056,4.059948,1.75552,44.33
030,00056,3.989377,1.55722,41.24
031,00056,4.082454,1.74753,44.18
032,00056,3.939785,1.77527,44.28
033,00056,4.018764,1.77923,45.41
034,00056,3.987889,1.53024,40.99
035,00056,3.895057,1.71131,44.20
036,00056,3.937949,1.65472,42.00
037,00056,3.850812,1.62043,41.61
038,00056,3.970051,1.60525,40.90
039,00056,3.964371,1.75299,44.29
040,00056,4.072809,1.57719,40.71
041,00056,3.931252,1.65456,42.54
042,00056,3.875452,1.77996,43.36
043,00056,3.832114,1.58816,38.67
044,00056,3.933122,1.58955,40.68
045,00055,3.892319,1.52210,39.36
046,00056,3.807727,1.41978,36.46
047,00056,3.982258,1.47256,38.60
048,00055,3.786757,1.45822,38.01
049,00056,3.878332,1.47934,37.76
050,00056,3.617355,1.67253,40.55
051,00056,3.740762,1.41489,36.04
052,00056,3.649959,1.57001,38.38
053,00056,3.684586,1.50222,38.85
054,00056,3.593904,1.38320,36.15
055,00056,3.662083,1.32001,33.24
056,00056,3.682059,1.37599,34.79
057,00056,3.753989,1.38281,35.03
058,00056,3.606478,1.44717,36.67
059,00056,3.658165,1.42244,35.37
060,00056,3.580870,1.28676,33.57
061,00056,3.623797,1.32324,32.97
062,00056,3.552519,1.33666,34.19
063,00056,3.448245,1.27608,32.34
064,00056,3.544458,1.24144,32.55
065,00056,3.471709,1.18399,30.84
066,00056,3.453587,1.25611,31.66
067,00056,3.650201,1.36508,35.21
068,00056,3.383418,1.20867,30.88
069,00056,3.455126,1.17484,30.21
070,00056,3.407771,1.27902,31.71
071,00056,3.434781,1.17857,29.84
072,00056,3.439299,1.17175,29.47
073,00056,3.264599,1.14496,28.56
074,00056,3.296309,1.10390,28.39
075,00056,3.338312,1.10303,27.60
076,00056,3.231226,1.14145,28.71
077,00056,3.186191,1.11409,27.96
078,00056,3.145283,1.17743,28.85
079,00056,3.152740,1.06072,26.29
080,00056,3.134503,1.09340,26.71
081,00056,3.054724,1.06643,25.81
082,00056,3.109570,1.04754,25.75
083,00055,3.092269,1.04593,26.16
084,00056,2.985766,1.03080,25.25
085,00056,2.946604,1.04363,25.00
086,00055,3.003264,0.99946,24.56
087,00055,2.950410,1.01286,24.84
088,00055,3.001586,1.00638,24.59
089,00055,2.900516,1.01167,24.03
090,00056,2.947361,0.99783,24.25
091,00055,2.912924,0.99259,23.85
092,00056,2.851119,0.99751,23.79
093,00055,2.824276,1.00542,23.60
094,00055,2.856966,1.00736,23.53
095,00056,2.846707,1.01245,23.46
096,00056,2.801616,1.00073,23.69
097,00056,2.761005,0.99594,23.46
098,00056,2.900090,0.99909,23.35
099,00056,2.790564,0.98918,23.50
100,00056,2.758071,0.98375,23.26
