epoch,time(s),train_loss,test_loss,test_error(%)
001,00053,6.072992,3.54933,83.90
002,00050,5.444935,3.12658,75.80
003,00050,5.217223,2.76517,68.58
004,00050,5.028403,2.46179,62.88
005,00051,4.751589,2.27945,59.22
006,00051,4.740517,2.12968,55.34
007,00050,4.591143,2.01185,52.47
008,00051,4.576406,1.96648,52.13
009,00050,4.493594,1.91066,49.71
010,00050,4.365247,2.07808,52.61
011,00051,4.300657,1.87064,49.18
012,00051,4.430143,1.80314,47.13
013,00051,4.391349,1.74040,45.08
014,00050,4.326775,1.74376,45.61
015,00051,4.375529,1.77021,46.20
016,00051,4.315949,1.82025,46.57
017,00051,4.269352,1.64009,41.97
018,00051,4.238125,1.73287,43.62
019,00050,4.185172,1.67315,43.30
020,00051,4.269114,1.65596,43.35
021,00051,4.220423,1.63267,43.60
022,00051,4.076878,1.72185,44.26
023,00051,4.191542,1.64871,43.04
024,00050,4.151735,1.55754,41.06
025,00051,4.316930,1.67417,43.45
026,00051,4.104753,1.60435,41.14
027,00050,4.074130,1.65521,42.69
028,00050,4.127367,1.59579,42.07
029,00050,4.060714,1.59112,41.66
030,00050,4.046536,1.54632,40.41
031,00050,4.087813,1.50710,39.36
032,00050,4.068251,1.56277,40.48
033,00050,4.108483,1.60569,41.61
034,00050,4.101292,1.55032,40.55
035,00050,3.994750,1.52242,38.41
036,00050,3.985481,1.56998,40.54
037,00050,3.883188,1.41063,37.09
038,00050,3.995531,1.48121,38.85
039,00050,3.974253,1.44605,38.04
040,00050,4.159013,1.54231,39.98
041,00050,3.923779,1.44481,37.35
042,00050,3.932855,1.59995,41.39
043,00050,3.864537,1.40565,36.74
044,00050,3.941831,1.44469,37.31
045,00050,3.881166,1.36552,35.42
046,00050,3.903726,1.41466,36.83
047,00050,4.033921,1.36351,36.18
048,00050,3.790096,1.38520,36.67
049,00050,3.930592,1.41116,36.64
050,00050,3.843155,1.31199,33.94
051,00050,3.804464,1.32010,34.26
052,00050,3.883288,1.30929,34.53
053,00050,3.796734,1.42480,36.35
054,00050,3.814810,1.37701,35.59
055,00050,3.799436,1.28071,33.34
056,00050,3.712529,1.28949,33.90
057,00050,3.741341,1.28430,34.51
058,00051,3.668030,1.26974,32.47
059,00050,3.647006,1.26559,33.31
060,00050,3.685198,1.24042,32.92
061,00050,3.755208,1.22559,32.89
062,00050,3.660691,1.19420,31.26
063,00050,3.708377,1.26574,32.80
064,00050,3.698157,1.23950,32.02
065,00050,3.687588,1.28542,32.70
066,00050,3.603726,1.23016,32.12
067,00050,3.660147,1.30781,33.42
068,00050,3.393515,1.14665,29.79
069,00050,3.424547,1.16892,30.30
070,00050,3.508470,1.16443,29.53
071,00050,3.502201,1.11152,28.98
072,00050,3.496044,1.12691,28.96
073,00050,3.410959,1.13271,28.97
074,00050,3.307986,1.10488,28.14
075,00050,3.443579,1.08738,28.24
076,00050,3.365426,1.11708,28.50
077,00050,3.324166,1.13913,28.69
078,00050,3.310321,1.10103,27.68
079,00050,3.213649,1.09414,27.56
080,00050,3.306264,1.07024,27.12
081,00050,3.201475,1.08443,27.70
082,00050,3.180639,1.05002,26.25
083,00050,3.259667,1.06112,26.61
084,00050,3.135333,1.05053,26.06
085,00050,3.105917,1.03868,25.87
086,00050,3.166155,1.04212,26.09
087,00050,3.148742,1.03920,26.10
088,00050,3.200084,1.03928,26.27
089,00050,2.957708,1.03054,25.44
090,00050,3.092639,1.01215,25.26
091,00050,3.040996,1.00986,25.04
092,00050,3.000902,1.02904,25.36
093,00050,2.936415,1.02984,25.31
094,00050,3.004316,1.02222,25.23
095,00050,3.035323,1.01172,25.02
096,00050,2.970673,1.04940,25.52
097,00050,2.985598,1.01905,25.01
098,00050,3.028157,1.01776,25.05
099,00050,2.936884,1.02033,24.95
100,00050,2.901502,1.02793,25.15
