epoch,time(s),train_loss,test_loss,test_error(%)
001,00097,2.660984,1.35612,49.14
002,00095,2.330820,1.25271,40.59
003,00104,2.140808,1.26703,39.47
004,00095,2.157387,0.88058,28.75
005,00096,1.962323,0.82074,24.87
006,00096,1.952242,0.73060,24.02
007,00095,1.923806,0.67095,21.94
008,00095,2.017808,0.79054,24.17
009,00095,1.884717,0.58511,18.77
010,00096,1.947020,0.68045,21.99
011,00095,1.796428,0.55103,17.41
012,00095,1.726000,0.64688,20.72
013,00095,1.834985,0.51096,16.02
014,00095,1.710620,0.71333,21.75
015,00095,1.761468,0.63998,19.56
016,00096,1.712488,0.54256,16.81
017,00095,1.775104,0.50970,15.51
018,00095,1.715211,0.64890,19.65
019,00095,1.713006,0.59878,17.09
020,00095,1.737972,0.58245,17.69
021,00095,1.684694,0.52365,15.66
022,00095,1.729706,0.43089,13.86
023,00095,1.700207,0.51945,15.27
024,00096,1.710384,0.55225,16.81
025,00096,1.693835,0.51022,16.28
026,00096,1.696428,0.49471,15.00
027,00096,1.752095,0.43552,13.14
028,00096,1.774075,0.46698,13.96
029,00096,1.750120,0.59578,13.09
030,00095,1.713510,0.53749,15.04
031,00096,1.701649,0.54259,16.29
032,00096,1.691163,0.42364,12.67
033,00095,1.672856,0.46994,14.59
034,00096,1.678763,0.63542,18.81
035,00095,1.636334,0.42251,13.34
036,00095,1.588174,0.37556,11.54
037,00095,1.660896,0.47656,14.80
038,00095,1.657480,0.47584,13.40
039,00095,1.605788,0.43269,12.83
040,00095,1.700368,0.47409,15.57
041,00095,1.609728,0.35516,10.44
042,00095,1.635186,0.40776,12.60
043,00095,1.649054,0.38733,11.50
044,00095,1.676344,0.43527,12.48
045,00096,1.681377,0.38708,11.66
046,00096,1.642680,0.38358,11.47
047,00096,1.644045,0.37468,10.65
048,00096,1.508219,0.40696,12.12
049,00096,1.531399,0.33325,9.74
050,00096,1.571295,0.52758,15.41
051,00096,1.516713,0.37365,11.39
052,00096,1.685662,0.38378,11.48
053,00096,1.583884,0.35735,10.60
054,00096,1.578069,0.32220,9.73
055,00096,1.566945,0.30243,8.70
056,00096,1.532711,0.34637,10.61
057,00096,1.479313,0.33113,9.56
058,00096,1.582071,0.30763,9.38
059,00096,1.595450,0.35252,9.60
060,00096,1.540170,0.34677,9.12
061,00096,1.597167,0.32310,9.86
062,00097,1.502328,0.29190,8.16
063,00096,1.471828,0.27607,8.62
064,00096,1.554225,0.29587,8.50
065,00096,1.529332,0.25742,7.56
066,00096,1.517135,0.31380,9.09
067,00096,1.451233,0.30794,8.41
068,00096,1.538130,0.25628,7.47
069,00096,1.502066,0.25755,7.96
070,00096,1.422999,0.25141,7.06
071,00096,1.426275,0.25914,7.25
072,00096,1.560686,0.24154,6.53
073,00096,1.436491,0.23197,6.90
074,00096,1.412284,0.22894,6.46
075,00096,1.402255,0.24237,6.34
076,00096,1.406387,0.23236,6.47
077,00097,1.478173,0.23443,6.31
078,00096,1.333979,0.21936,6.19
079,00097,1.457601,0.21058,6.06
080,00097,1.375659,0.19871,5.21
081,00097,1.321987,0.20871,5.52
082,00097,1.364041,0.19241,5.04
083,00097,1.342122,0.18637,4.88
084,00097,1.355854,0.19440,5.16
085,00097,1.375860,0.18665,4.90
086,00097,1.327874,0.19276,5.11
087,00097,1.282428,0.17587,4.74
088,00097,1.295094,0.18176,4.74
089,00097,1.273815,0.17184,4.59
090,00097,1.292177,0.17905,4.61
091,00097,1.291184,0.17522,4.50
092,00097,1.302217,0.17176,4.42
093,00097,1.297279,0.17172,4.38
094,00097,1.307374,0.16725,4.36
095,00097,1.268431,0.16971,4.30
096,00097,1.269494,0.17289,4.28
097,00097,1.250079,0.16919,4.43
098,00097,1.265322,0.17076,4.18
099,00097,1.293236,0.17887,4.40
100,00097,1.319168,0.17710,4.26
