epoch,time(s),train_loss,test_loss,test_error(%)
001,00496,4.313436,3.44287,50.19
002,00142,4.172594,3.47833,49.65
003,00139,4.154937,3.48651,49.09
004,00161,4.039488,3.48791,49.24
005,00156,4.058450,3.41195,49.23
006,00146,4.054167,3.42768,49.15
007,00136,4.062493,3.41016,49.18
008,00140,4.029914,3.49070,49.34
009,00139,4.125422,3.36426,48.58
010,00133,4.101348,3.45336,48.62
