epoch,time(s),train_loss,test_loss,test_error(%)
001,00085,3.333733,1.02301,26.79
002,00081,3.172632,1.10207,28.51
003,00087,3.261575,1.03888,26.92
004,00081,3.196119,1.03242,26.83
005,00081,3.327612,1.05943,27.21
006,00081,3.383451,1.08617,28.16
007,00081,3.095164,1.03464,26.78
008,00081,3.190282,1.03339,26.68
009,00081,3.151592,1.01436,26.16
010,00081,3.149846,1.07245,27.37
