epoch,time(s),train_loss,test_loss,test_error(%)
001,00057,1.535985,0.24381,7.37
002,00055,1.556877,0.24011,7.42
003,00055,1.397003,0.22793,7.00
004,00055,1.617582,0.23556,6.96
005,00055,1.425102,0.24390,7.25
006,00055,1.412239,0.23864,6.94
007,00055,1.426174,0.23717,6.95
008,00055,1.563430,0.26788,7.32
009,00055,1.424963,0.23798,6.92
010,00055,1.471655,0.24270,7.04
