epoch,time(s),train_loss,test_loss,test_error(%)
001,00020,1.293215,1.39640,48.15
002,00019,0.991855,1.27905,42.86
003,00019,0.839425,0.93875,32.17
004,00019,0.726012,0.86473,28.98
005,00019,0.640913,0.67258,22.71
006,00019,0.690382,0.82335,26.73
007,00019,0.626602,0.78983,27.53
008,00019,0.608202,0.63824,21.50
009,00019,0.618022,0.75781,24.11
010,00019,0.564529,0.62190,20.92
011,00019,0.537640,0.54036,18.14
012,00019,0.513405,0.65185,21.31
013,00019,0.447805,0.60015,19.80
014,00019,0.481048,0.51846,17.63
015,00019,0.444474,0.60364,20.07
016,00019,0.486037,0.63408,20.99
017,00019,0.514993,0.49042,16.12
018,00019,0.465495,0.54902,18.31
019,00019,0.471601,0.55816,18.26
020,00019,0.409702,0.55967,18.56
021,00019,0.427999,0.47970,15.84
022,00019,0.400913,0.48735,16.95
023,00019,0.499863,0.50259,17.10
024,00019,0.407335,0.56552,18.45
025,00019,0.386026,0.45694,15.17
026,00019,0.382084,0.64932,20.20
027,00019,0.472494,0.47268,16.24
028,00019,0.418788,0.53557,17.73
029,00019,0.417473,0.45842,15.70
030,00019,0.416272,0.51835,17.21
031,00019,0.405179,0.55548,18.38
032,00019,0.376150,0.41932,14.14
033,00019,0.409033,0.45358,14.95
034,00019,0.361787,0.40568,14.13
035,00019,0.374149,0.54881,18.11
036,00019,0.347130,0.40742,13.82
037,00019,0.404596,0.41816,14.23
038,00019,0.381868,0.40257,13.64
039,00019,0.330261,0.39278,13.22
040,00019,0.380487,0.41796,14.13
041,00019,0.372353,0.53230,17.04
042,00019,0.405892,0.42178,14.31
043,00019,0.280993,0.35622,12.18
044,00019,0.345579,0.41938,13.62
045,00019,0.285070,0.31331,10.52
046,00019,0.304332,0.38151,12.76
047,00019,0.279399,0.33386,11.54
048,00019,0.356051,0.41539,14.09
049,00019,0.300603,0.33766,11.36
050,00019,0.289753,0.37456,12.53
051,00019,0.299191,0.43645,14.23
052,00019,0.339064,0.33460,11.45
053,00019,0.254147,0.35696,11.30
054,00019,0.256930,0.33241,10.84
055,00019,0.321327,0.36570,11.99
056,00019,0.258935,0.34539,11.19
057,00019,0.260933,0.30367,10.57
058,00019,0.247511,0.32734,10.90
059,00019,0.235041,0.29213,9.85
060,00019,0.236623,0.31234,10.83
061,00019,0.250880,0.28077,9.62
062,00019,0.226183,0.28806,9.61
063,00019,0.226115,0.29879,10.23
064,00019,0.223734,0.31231,10.28
065,00019,0.196364,0.29107,9.49
066,00019,0.196998,0.28835,9.05
067,00019,0.208241,0.26679,8.58
068,00019,0.209906,0.25623,8.48
069,00019,0.190242,0.27456,8.89
070,00019,0.158313,0.24463,7.96
071,00019,0.191037,0.27389,8.79
072,00019,0.160724,0.25161,8.05
073,00019,0.205789,0.24683,7.71
074,00019,0.140367,0.22321,7.07
075,00019,0.142852,0.23795,7.48
076,00019,0.129459,0.23437,7.25
077,00019,0.120330,0.23632,7.54
078,00019,0.129843,0.23102,7.05
079,00019,0.132297,0.21525,6.55
080,00019,0.087212,0.22488,6.89
081,00019,0.102754,0.21052,6.29
082,00019,0.094687,0.21143,6.46
083,00019,0.068925,0.21276,6.46
084,00019,0.070820,0.22385,6.39
085,00019,0.059220,0.19925,5.91
086,00019,0.054074,0.19194,5.49
087,00019,0.055078,0.19997,5.79
088,00019,0.059503,0.19357,5.64
089,00019,0.037464,0.19996,5.54
090,00019,0.052001,0.20028,5.45
091,00019,0.030211,0.19701,5.24
092,00019,0.053268,0.19706,5.33
093,00019,0.026411,0.18853,5.24
094,00019,0.024022,0.19102,5.18
095,00019,0.030531,0.19330,5.30
096,00019,0.019373,0.18991,5.10
097,00019,0.019601,0.19135,5.11
098,00019,0.022081,0.19247,5.08
099,00019,0.015036,0.19080,5.05
100,00019,0.017907,0.19250,5.16
