epoch,time(s),train_loss,test_loss,test_error(%)
001,00023,3.783625,3.94770,90.38
002,00022,3.260148,3.33086,82.15
003,00022,2.965721,3.42407,80.88
004,00022,2.557681,2.94730,73.77
005,00022,2.328379,2.44536,64.01
006,00021,2.235965,2.35609,61.31
007,00022,2.031937,2.20540,58.78
008,00022,1.908668,2.16979,57.14
009,00023,1.806890,2.17110,56.57
010,00023,1.817995,2.11569,56.37
011,00023,1.718126,2.01070,54.18
012,00023,1.609775,1.81760,50.31
013,00023,1.643598,1.78231,49.29
014,00023,1.624406,1.78315,49.32
015,00023,1.555057,1.85246,50.04
016,00022,1.584224,1.69342,47.07
017,00023,1.464606,1.74340,47.56
018,00023,1.547643,1.95110,50.95
019,00023,1.444055,1.59653,44.81
020,00023,1.516906,1.85745,49.11
021,00023,1.428924,1.75371,46.50
022,00022,1.480196,1.68710,45.14
023,00023,1.410558,1.71144,45.61
024,00023,1.413888,1.60581,43.94
025,00023,1.346883,1.60566,44.15
026,00023,1.349899,1.75858,45.33
027,00023,1.414779,1.83549,47.01
028,00022,1.386808,1.53211,42.51
029,00023,1.389491,1.59124,44.06
030,00023,1.362890,1.74452,46.09
031,00023,1.335344,1.52643,42.24
032,00023,1.374658,1.67612,44.65
033,00022,1.369477,1.59552,42.54
034,00023,1.297226,1.51531,41.49
035,00023,1.314129,1.54211,41.95
036,00023,1.261162,1.43526,40.46
037,00023,1.226209,1.54163,41.72
038,00023,1.258553,1.46337,39.62
039,00022,1.201966,1.42851,39.32
040,00023,1.196717,1.62699,42.97
041,00023,1.223104,1.50870,41.24
042,00023,1.168970,1.36789,37.98
043,00023,1.120007,1.36525,37.56
044,00023,1.115190,1.47953,39.73
045,00023,1.185314,1.46052,39.94
046,00023,1.060817,1.38882,38.29
047,00022,1.066998,1.43893,39.14
048,00023,1.117322,1.47899,40.27
049,00023,1.042066,1.40363,38.37
050,00022,0.990360,1.36918,37.27
051,00023,1.050847,1.41748,38.07
052,00023,0.959606,1.30492,36.15
053,00023,1.109507,1.36297,37.15
054,00023,0.945301,1.30220,35.57
055,00023,0.917111,1.34073,36.77
056,00022,1.016546,1.33168,36.44
057,00023,0.938617,1.24880,34.37
058,00023,0.966608,1.32677,35.72
059,00023,0.925416,1.25299,34.28
060,00023,0.891183,1.30173,34.72
061,00022,0.869203,1.27607,34.51
062,00023,0.883696,1.24499,34.30
063,00023,0.985930,1.21949,32.31
064,00023,0.841122,1.23706,33.25
065,00023,0.733207,1.19815,32.29
066,00023,0.795757,1.19548,33.07
067,00022,0.719925,1.17584,31.95
068,00023,0.731745,1.17726,31.80
069,00023,0.683731,1.12860,31.23
070,00023,0.606753,1.19502,31.71
071,00023,0.663548,1.11105,30.06
072,00022,0.651389,1.17523,30.36
073,00022,0.620241,1.14164,30.09
074,00022,0.632463,1.08805,29.04
075,00022,0.545643,1.08760,29.22
076,00022,0.513368,1.12084,29.06
077,00022,0.545174,1.13024,29.50
078,00022,0.475716,1.08762,28.42
079,00022,0.507577,1.09734,28.04
080,00022,0.398848,1.09073,28.05
081,00022,0.410007,1.05061,27.88
082,00022,0.360329,1.06632,27.50
083,00022,0.341364,1.03760,26.92
084,00021,0.306050,1.05569,26.78
085,00022,0.335511,1.06217,26.22
086,00022,0.277536,1.05573,26.35
087,00022,0.251460,1.03366,25.58
088,00022,0.254221,1.02176,25.70
089,00022,0.216375,1.03023,25.23
090,00021,0.192663,1.03699,25.50
091,00022,0.189185,1.02605,25.33
092,00022,0.180508,1.03672,25.45
093,00022,0.159504,1.03130,25.47
094,00022,0.157663,1.02671,25.01
095,00022,0.139227,1.03280,24.99
096,00022,0.149486,1.02791,24.79
097,00022,0.129548,1.02680,24.84
098,00022,0.160578,1.03246,24.89
099,00022,0.151837,1.02826,24.92
100,00022,0.144973,1.03069,24.84
