epoch,time(s),train_loss,test_loss,test_error(%)
001,00010,1.356933,0.10372,3.29
002,00010,1.331768,0.07170,2.26
003,00011,1.296679,0.05521,1.82
004,00011,1.245218,0.04711,1.59
005,00011,1.225551,0.04303,1.33
006,00011,1.223615,0.03861,1.35
007,00011,1.235327,0.03541,1.22
008,00011,1.286936,0.03481,1.15
009,00011,1.214788,0.03382,1.17
010,00011,1.236605,0.03365,1.17
