epoch,time(s),train_loss,test_loss,test_error(%)
001,00422,1.194854,0.08847,1.78
002,00420,1.192749,0.08634,1.77
003,00417,1.186667,0.08593,1.82
004,00417,1.190738,0.08473,1.79
005,00417,1.202694,0.08502,1.79
